"","x"
"1",8.07102385605442
"2",7.85376467653944
"3",8.94887706798802
"4",7.1726405954113
"5",8.14931427640913
"6",9.02127728567183
"7",10.3537431941537
"8",12.1517541234757
"9",12.0450117481962
"10",12.3096693684441
"11",10.1690899482033
"12",8.67872276909092
"13",7.85666980518347
"14",8.50135733609943
"15",7.74787484533991
"16",8.43296311188899
"17",9.59527856548563
"18",9.93195380032038
"19",12.7111923988541
"20",12.5000517478345
"21",10.1085794403211
"22",8.64592298761286
"23",7.34211552321859
"24",6.22343271437238
"25",6.21415714877402
"26",5.86603467525115
"27",7.92105523534894
"28",9.63631556287509
"29",11.1366023723681
"30",12.8382987489878
"31",10.2076326759678
"32",10.7842095905519
"33",9.73893399316216
"34",7.41355307574769
"35",8.84488622380493
"36",8.73798346061979
"37",9.71257457527766
"38",9.96929028049797
"39",10.2014261363445
"40",11.0378676486062
"41",8.7385552189023
"42",7.79158054697742
"43",8.75664395298956
"44",7.8405267252346
"45",8.8861059948817
"46",8.64576031676992
"47",7.72211482444705
"48",8.13757230423042
"49",9.60235566181146
"50",11.1746269673771
"51",12.3153821271358
"52",12.7362642326341
"53",12.4407328409972
"54",12.7518508697963
"55",12.0160083625393
"56",10.8918315559639
"57",8.66205583626751
"58",8.42884448763417
"59",6.51325905806979
"60",6.13556601910772
"61",8.53311057541774
"62",8.19302691389092
"63",9.93978514501273
"64",12.0970615646111
"65",11.2393430350654
"66",12.080161667366
"67",14.1362727630792
"68",12.7238749973314
"69",10.9665558078318
"70",11.1408138348319
"71",9.43661882605076
"72",9.87540855365499
"73",10.6408255530472
"74",10.8787764615319
"75",12.0743154264069
"76",10.4017044434085
"77",7.35605968413438
"78",6.80204986712746
"79",5.55716241137919
"80",5.60104653395675
"81",8.774175336674
"82",10.9184821866751
"83",14.1287943140334
"84",15.2891329437054
"85",13.7605891989858
"86",12.6537506865799
"87",11.3377545267824
"88",8.12668159835202
"89",7.78588236776022
"90",6.7270893218347
"91",5.60643644334934
"92",7.59205775534301
"93",9.57652964297513
"94",10.1554926801142
"95",12.449375868653
"96",13.3574258601896
"97",12.9503416769951
"98",12.0838722896046
"99",10.9311440898059
"100",10.0130773264107
"101",8.52028509919652
"102",7.996099913327
"103",6.43790084984999
"104",6.46688968756826
"105",8.59577380786382
"106",10.8922573976881
"107",12.5627434541789
"108",14.0275304872748
"109",13.7291595910525
"110",12.0057512067331
"111",11.1871091769462
"112",9.92208588219194
"113",9.28849998751674
"114",8.63944858873999
"115",8.44173485132458
"116",7.91303923326052
"117",9.23453058329526
"118",10.8082849075681
"119",12.3946590078731
"120",13.4235751511282
"121",12.2823821353711
"122",11.2703625657753
"123",8.66247203763278
"124",6.29794850825271
"125",6.33072810963513
"126",7.39110835335757
"127",9.18133485850923
"128",11.9664554360615
"129",14.3308459584956
"130",15.248925744699
"131",13.6482136151107
"132",12.3196131567168
"133",7.92292613475012
"134",6.42116332516011
"135",6.64072899576005
"136",7.03430917785341
"137",8.08639974905947
"138",8.81257342349292
"139",9.53729667374358
"140",8.60410378532323
"141",10.4261210898347
"142",10.8876853126976
"143",10.6860438042198
"144",12.14517080362
"145",12.8500138487178
"146",11.1864460843996
"147",10.8205262757774
"148",10.7309415104162
"149",7.34358815165185
"150",6.52340052384866
"151",6.76167966732378
"152",4.78715475357823
"153",8.17830555789328
"154",8.57794937306116
"155",9.49897650540154
"156",10.4802417766874
"157",12.1422044208814
"158",13.179866127028
"159",11.657289574791
"160",13.5545311747735
"161",12.8499024008123
"162",11.2554965936335
"163",9.69308713115787
"164",8.38299250274542
"165",6.2679041430951
"166",4.78575294021399
"167",4.61904951212928
"168",5.37773449982911
"169",7.94533037281382
"170",11.1503671784602
"171",15.4094340835803
"172",16.545633126889
"173",16.5458454877941
"174",12.8009384029721
"175",10.0132473937965
"176",6.34169470573143
"177",5.91460511181049
"178",7.88036502420518
"179",8.67142717511298
"180",11.0700858504061
"181",12.126676767266
"182",12.5108952516255
"183",13.2238383485547
"184",13.1263812677139
"185",12.3405061661708
"186",11.4229792605242
"187",9.34308954519124
"188",7.19560038070861
"189",5.64461400695738
"190",5.83565142678393
"191",5.75263065659429
"192",7.45535062454941
"193",11.1367858305461
"194",12.964288385767
"195",14.1772419644028
"196",14.4618457843731
"197",13.5038183034952
"198",12.2657459697816
"199",10.7430400819825
"200",9.52892197592568
"201",9.49275063783146
"202",6.25051074004685
"203",7.49321044502423
"204",7.83545909511742
"205",7.21173947547824
"206",9.09004340615376
"207",9.71842316070904
"208",10.7956043137387
"209",12.4851473007652
"210",11.3780996646264
"211",12.6745800703043
"212",13.0853824272593
"213",11.3222719540549
"214",12.2217385085755
"215",11.5200413925757
"216",12.4980397838676
"217",9.19135897298131
"218",8.77987017159676
"219",7.17305674509764
"220",7.63055081693565
"221",7.0944707611528
"222",9.15036122032766
"223",10.5108358863195
"224",12.1125739704041
"225",12.2021236690292
"226",11.4230155236147
"227",12.494530210324
"228",11.9494487250279
"229",10.5355743687812
"230",8.39447445317049
"231",8.44581013251619
"232",7.68318190019124
"233",8.15030126310649
"234",10.0392630662577
"235",11.5873857789303
"236",11.086043512687
"237",12.7582523185552
"238",11.7639314463693
"239",11.8281108169099
"240",11.1793383996835
"241",8.6934243380723
"242",8.19389700638937
